,Progress,Finished,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,X18yo,consentq,Pew.respondent.1,Pew.respondent.2,Pew.respondent.3,Pew.respondent.4,Pew.respondent.5,Pew.respondent.6,Pew.respondent.7,Pew.respondent.8,Pew.respondent.9,Pew.respondent.10,forma1,forma2,forma3,pcomf,ideologyp,pew1,pew2,pew3,pew4,pew5,pew6,pew7,pew8,pew9,pew10,paqmatrix_1,paqmatrix_2,paqmatrix_3,paqmatrix_4,paqmatrix_5,paqmatrix_6,paqmatrix_7,paqmatrix_8,paqmatrix_9,paqmatrix_10,paqmatrix_11,paqmatrix_12,paqmatrix_13,paqmatrix_14,paqmatrix_15,paqmatrix_16,paqmatrix_17,paqmatrix_18,paqmatrix_19,paqmatrix_20,respondentscore,respondentideo,parentscore,parentideo,parentgenideo,respondentgenideo,parentpermscore,parentauthnscore,parentauthvscore,parentpermavg,parentauthnavg,parentauthvavg,parentingstyle
13,100,1,44.97639465,-93.22399902,anonymous,EN,1,1,0,-1,0,1,0,0,0,0,-1,-1,1,2,4,1,0,1,-1,1,-1,1,1,1,-1,-1,1,3,4,1,1,5,3,1,2,5,0,0,5,0,5,3,3,1,1,1,1,-2,Slightly Liberal,2,Slightly Conservative,Conservative,Liberal,18,17,10,18,17,10,1
14,100,1,44.97639465,-93.22399902,anonymous,EN,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,5,1,0,-1,1,1,1,-1,-1,-1,1,-1,-1,2,3,4,2,3,2,2,3,4,3,3,4,4,2,2,2,2,2,2,2,-8,Strongly Liberal,-2,Slightly Liberal,Liberal,Liberal,18,23,12,18,23,12,2
15,100,1,44.83059692,-92.93930054,anonymous,EN,1,1,1,-1,-1,1,-1,-1,1,1,1,-1,4,1,5,1,0,-1,-1,-1,1,0,-1,0,-1,1,-1,2,2,2,2,4,1,4,0,4,2,3,3,3,4,3,1,2,1,2,1,0,Moderate,-4,Slightly Liberal,Liberal,Moderate,17,19,10,17,19,10,2
16,100,1,45.38560486,-92.84860229,anonymous,EN,1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,2,1,3,1,0,1,1,1,1,1,1,1,0,1,0,2,2,4,4,3,1,1,0,5,2,5,4,1,4,3,1,3,1,4,2,-9,Strongly Liberal,8,Strongly Conservative,Conservative,Liberal,17,21,14,17,21,14,2
17,100,1,44.97639465,-93.22399902,anonymous,EN,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,5,3,3,2,5,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,-6,Moderately Liberal,5,Slightly Liberal,Conservative,Liberal,15,21,18,15,21,18,2
18,100,1,44.94020081,-93.21880341,anonymous,EN,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,5,1,0,1,-1,-1,-1,-1,-1,1,0,-1,-1,3,4,2,2,2,2,3,2,0,4,2,0,2,2,4,2,5,2,2,3,-8,Strongly Liberal,-5,Moderately Liberal,Liberal,Liberal,18,12,18,18,12,18,3
19,100,1,44.97639465,-93.22399902,anonymous,EN,1,1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,1,1,5,1,0,-1,-1,0,0,-1,-1,-1,0,-1,-1,2,3,4,2,4,2,2,3,5,2,3,3,4,3,3,3,2,3,3,3,-8,Strongly Liberal,-7,Moderately Liberal,Liberal,Liberal,19,23,17,19,23,17,2
20,100,1,44.97639465,-93.22399902,anonymous,EN,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,5,1,0,-1,-1,-1,0,-1,-1,-1,-1,0,-1,3,2,3,4,4,5,4,2,2,2,2,2,3,2,4,2,1,3,2,2,-8,Strongly Liberal,-8,Strongly Liberal,Liberal,Liberal,25,15,14,25,15,14,1
21,100,1,45.01960754,-93.24019623,anonymous,EN,1,1,1,-1,-1,0,0,-1,-1,0,-1,-1,1,2,3,1,0,-1,-1,-1,1,1,1,-1,1,1,1,2,2,3,4,3,2,2,4,5,4,5,5,5,3,1,1,1,1,1,1,-5,Moderately Liberal,2,Slightly Conservative,Conservative,Liberal,18,31,6,18,31,6,2
22,100,1,44.97639465,-93.22399902,anonymous,EN,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,5,1,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,3,4,4,5,4,3,2,3,4,3,3,3,4,2,2,2,1,2,1,2,-10,Strongly Liberal,-8,Strongly Liberal,Liberal,Liberal,25,22,10,25,22,10,1
23,100,1,43.57800293,-116.2953949,anonymous,EN,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,6,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,4,5,5,5,5,4,3,3,1,1,1,2,1,5,4,5,4,2,2,-10,Strongly Liberal,-10,Strongly Liberal,Liberal,Liberal,33,12,22,33,12,22,1
24,100,1,44.97639465,-93.22399902,anonymous,EN,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,3,1,0,0,-1,-1,0,0,-1,-1,-1,-1,-1,0,4,5,5,3,4,5,0,1,1,1,1,1,1,4,4,2,3,1,2,-10,Strongly Liberal,-7,Moderately Liberal,Liberal,Liberal,26,6,16,26,6,16,1
25,100,1,45.05459595,-93.25659943,anonymous,EN,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,3,5,1,0,1,1,1,1,-1,1,-1,1,-1,-1,0,4,4,5,5,4,2,4,4,5,5,5,4,5,4,1,1,1,1,4,-6,Moderately Liberal,2,Slightly Conservative,Conservative,Liberal,24,32,12,24,32,12,2
26,100,1,44.97639465,-93.22399902,anonymous,EN,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,5,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4,4,2,2,2,1,4,4,1,3,4,4,1,2,2,1,3,1,2,-8,Strongly Liberal,-10,Strongly Liberal,Liberal,Liberal,17,21,11,17,21,11,2
27,100,1,44.94270325,-93.28710175,anonymous,EN,1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,1,6,1,0,1,-1,1,1,1,1,-1,1,1,1,3,4,3,2,4,3,1,4,4,3,4,4,4,3,3,1,2,2,2,2,-9,Strongly Liberal,6,Moderately Conservative,Conservative,Liberal,20,26,12,20,26,12,2
28,100,1,44.97639465,-93.22399902,anonymous,EN,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,6,1,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,3,4,2,2,4,2,1,4,4,3,0,2,3,0,0,2,2,0,2,2,-10,Strongly Liberal,-7,Moderately Liberal,Liberal,Liberal,18,16,8,18,16,8,1
29,100,1,44.97639465,-93.22399902,anonymous,EN,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,4,1,0,1,-1,-1,-1,0,0,0,-1,1,-1,2,2,4,5,5,5,4,2,3,1,1,2,2,2,5,3,3,4,2,3,-10,Strongly Liberal,-3,Slightly Liberal,Liberal,Liberal,27,13,20,27,13,20,2
30,100,1,44.97639465,-93.22399902,anonymous,EN,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,5,3,5,4,4,5,4,1,2,3,4,1,3,3,4,2,1,1,1,2,-10,Strongly Liberal,1,Strongly Liberal,Moderate,Liberal,30,17,11,30,17,11,1
31,100,1,44.97639465,-93.22399902,anonymous,EN,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,5,5,5,5,4,4,4,1,2,3,4,2,1,2,4,2,1,1,1,4,-10,Strongly Liberal,1,Strongly Liberal,Moderate,Liberal,32,15,13,32,15,13,1
32,100,1,44.97639465,-93.22399902,anonymous,EN,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,5,1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,4,0,4,4,4,3,4,0,2,0,2,2,3,0,4,0,4,0,0,0,-9,Strongly Liberal,-8,Strongly Liberal,Liberal,Liberal,23,9,8,23,9,8,1
33,100,1,44.80580139,-93.60710144,anonymous,EN,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,6,1,0,-1,-1,0,-1,0,-1,-1,0,-1,-1,4,4,4,4,4,4,4,3,4,2,2,2,4,3,4,4,4,4,2,4,-10,Strongly Liberal,-7,Moderately Liberal,Liberal,Liberal,28,20,22,28,20,22,1
34,100,1,44.99479675,-93.25479889,anonymous,EN,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,1,0,-1,-1,0,0,0,-1,1,-1,-1,-1,3,3,5,5,5,3,2,0,5,3,3,3,4,3,2,5,1,3,1,2,-9,Strongly Liberal,-5,Moderately Liberal,Liberal,Liberal,26,21,14,26,21,14,1
35,100,1,44.97639465,-93.22399902,anonymous,EN,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,6,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,4,5,5,3,5,4,3,4,1,2,2,2,1,4,1,1,2,1,1,-10,Strongly Liberal,-10,Strongly Liberal,Liberal,Liberal,31,15,10,31,15,10,1
36,100,1,45.01960754,-93.24019623,anonymous,EN,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,5,1,0,0,0,-1,0,-1,0,0,0,0,-1,0,4,4,0,0,5,4,0,2,4,4,2,5,3,4,1,2,4,1,1,-10,Strongly Liberal,-3,Slightly Liberal,Liberal,Liberal,17,20,13,17,20,13,2
37,100,1,44.97639465,-93.22399902,anonymous,EN,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,6,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,4,3,4,2,2,2,3,3,2,2,4,3,1,4,4,4,4,4,3,-10,Strongly Liberal,-10,Strongly Liberal,Liberal,Liberal,19,18,23,19,18,23,3
38,100,1,41.02819824,-73.77870178,anonymous,EN,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,6,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,4,4,4,4,4,4,3,2,2,2,2,2,2,4,2,2,2,2,2,-10,Strongly Liberal,-10,Strongly Liberal,Liberal,Liberal,27,15,14,27,15,14,1
39,100,1,44.98339844,-93.2621994,anonymous,EN,1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,2,3,2,1,0,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,4,4,4,4,4,4,4,4,2,2,1,1,1,3,4,3,1,4,1,2,-9,Strongly Liberal,-8,Strongly Liberal,Liberal,Liberal,28,14,15,28,14,15,1
40,100,1,44.97639465,-93.22399902,anonymous,EN,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,6,1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,4,5,5,5,5,5,4,4,3,1,2,3,2,2,5,2,2,3,1,1,-8,Strongly Liberal,-9,Strongly Liberal,Liberal,Liberal,33,17,14,33,17,14,1
41,100,1,44.97639465,-93.22399902,anonymous,EN,1,1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,2,1,3,1,0,1,1,1,1,1,1,1,1,1,1,2,2,2,5,4,4,2,1,2,4,4,5,4,3,4,2,4,2,2,2,-8,Strongly Liberal,10,Strongly Conservative,Conservative,Liberal,21,23,16,21,23,16,2
42,100,1,44.97639465,-93.22399902,anonymous,EN,1,1,1,1,1,1,1,1,1,1,1,0,2,4,6,1,0,-1,1,1,1,1,1,1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Strongly Conservative,6,Moderately Conservative,Conservative,Conservative,0,0,0,0,0,0,2
43,100,1,44.97639465,-93.22399902,anonymous,EN,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,6,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,3,4,4,4,0,0,2,1,1,2,2,1,5,4,2,2,1,3,-8,Strongly Liberal,-10,Strongly Liberal,Liberal,Liberal,17,9,17,17,9,17,3
44,100,1,44.99479675,-93.25479889,anonymous,EN,1,1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,1,2,2,1,0,0,0,1,-1,-1,-1,0,0,0,0,0,3,3,3,3,1,2,0,5,5,5,5,0,0,2,2,3,0,1,2,-7,Moderately Liberal,-2,Slightly Liberal,Liberal,Liberal,15,20,10,15,20,10,2
45,100,1,44.97639465,-93.22399902,anonymous,EN,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,6,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,4,5,4,5,4,5,3,4,1,2,2,2,1,4,2,1,2,1,2,-10,Strongly Liberal,-10,Strongly Liberal,Liberal,Liberal,32,15,12,32,15,12,1
46,100,1,45.01960754,-93.24019623,anonymous,EN,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,6,1,0,0,-1,-1,-1,0,-1,0,1,-1,-1,2,3,5,4,3,2,2,4,4,5,5,5,4,4,1,2,1,1,1,1,-10,Strongly Liberal,-5,Moderately Liberal,Liberal,Liberal,21,31,7,21,31,7,2
